amfi_code,scheme_name,return_3yr_pct,expense_ratio_pct,Return_Rank,Expense_Rank,Sharpe_Rank,Alpha_Rank,Drawdown_Rank,Return_Score,Sharpe_Score,Alpha_Score,Expense_Score,Drawdown_Score,Fund_Score,Overall_Rank
118635,Nippon India ETF Nifty 50 BeES,11.77,0.89,32.0,12.0,19.0,23.0,10.0,22.5,55.00000000000001,45.0,72.5,77.5,48.125,26
120842,Kotak Emerging Equity Fund - Regular - Growth,18.23,1.56,7.0,26.0,30.0,29.0,33.0,85.0,27.500000000000004,30.0,37.5,20.0,46.0,27
119095,Axis Small Cap Fund - Regular - Growth,20.98,1.38,4.0,15.0,33.0,37.0,39.0,92.5,20.0,10.0,65.0,5.0,45.0,28
120507,ICICI Pru Liquid Fund - Regular - Growth,7.68,0.74,35.0,6.0,23.0,31.0,1.0,15.0,45.0,25.0,87.5,100.0,43.875,29
149322,DSP Top 100 Equity Fund - Regular - Growth,12.82,1.54,25.0,24.0,25.0,24.0,16.0,40.0,40.0,42.5,42.5,62.5,43.125,30
119093,Axis Bluechip Fund - Direct - Growth,12.14,0.75,29.0,7.0,29.0,28.0,31.0,30.0,30.0,32.5,85.0,25.0,38.25,31
120841,Kotak Bluechip Fund - Regular - Growth,12.25,1.59,28.0,28.0,24.0,25.0,24.0,32.5,42.5,40.0,32.5,42.5,37.5,32
120844,Kotak Liquid Fund - Regular - Growth,6.18,0.6,37.0,3.0,34.0,32.0,2.0,10.0,17.5,22.5,95.0,97.5,35.875,33
102886,UTI Mid Cap Fund - Regular - Growth,15.61,1.51,12.0,21.0,36.0,40.0,35.0,72.5,12.5,2.5,50.0,15.0,34.375,34
100016,HDFC Top 100 Fund - Regular Plan - Growth,14.84,1.55,16.0,25.0,35.0,39.0,34.0,62.5,15.0,5.0,40.0,17.5,31.25,35
100025,HDFC Short Term Debt Fund - Regular - Growth,7.37,0.56,36.0,2.0,39.0,38.0,4.0,12.5,5.0,7.5,97.5,92.5,30.375,36
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.31,0.55,39.0,1.0,38.0,35.0,6.0,5.0,7.5,15.0,100.0,87.5,30.125,37
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,6.07,0.77,38.0,8.0,37.0,34.0,5.0,7.5,10.0,17.5,82.5,90.0,29.625,38
119092,Axis Bluechip Fund - Regular - Growth,11.84,1.64,31.0,31.0,31.0,30.0,15.0,25.0,25.0,27.500000000000004,25.0,65.0,29.5,39
101208,ABSL Liquid Fund - Regular - Growth,5.14,0.79,40.0,10.0,40.0,33.0,3.0,2.5,2.5,20.0,77.5,95.0,26.5,40
